# BUSCO version is: 5.2.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
761109at2759	Complete	5085337	3347	7056	-	415.3	349
768809at2759	Complete	5139084	5793	11035	-	283.6	246
774318at2759	Complete	5074699	251	4486	+	228.6	213
777920at2759	Complete	5091864	1255	8320	-	389.4	326
779909at2759	Complete	5138839	1519	6468	+	221.8	226
801857at2759	Missing
814241at2759	Duplicated	5120560	8313	20920	+	243.4	323
814241at2759	Duplicated	5117557	8816	11677	-	238.9	285
817008at2759	Fragmented	5083370	752	6728	+	258.6	162
834694at2759	Complete	5125608	1079	10739	+	415.7	345
836599at2759	Complete	5129598	14152	18186	+	376.8	324
844748at2759	Duplicated	5138709	10957	16769	+	231.1	362
844748at2759	Duplicated	5125893	4656	13152	-	204.9	350
844748at2759	Duplicated	5138447	5237	13733	-	204.9	350
855834at2759	Duplicated	5123526	27867	36237	-	178.1	314
855834at2759	Duplicated	5125593	8313	16848	+	165.9	328
858842at2759	Duplicated	5074296	771	2477	-	245.4	302
858842at2759	Duplicated	5125405	1214	2908	+	244.6	302
865202at2759	Duplicated	5101373	10	4157	+	197.6	180
865202at2759	Duplicated	5124616	2442	6589	-	197.6	180
866359at2759	Duplicated	5139068	22030	31244	-	351.3	272
866359at2759	Duplicated	5055860	3195	9362	+	304.9	251
866359at2759	Duplicated	5067128	10460	16627	+	304.9	251
869548at2759	Duplicated	5036936	2083	5988	+	246.8	193
869548at2759	Duplicated	5136094	4020	12938	+	241.2	193
869548at2759	Duplicated	5087827	12	3729	+	235.3	177
878143at2759	Duplicated	5078980	2443	10531	+	331.2	302
878143at2759	Duplicated	5078981	2440	10528	+	331.2	302
887370at2759	Complete	5133508	5181	8536	+	347.8	352
891751at2759	Complete	5129754	18755	26567	+	197.2	207
898782at2759	Complete	5133980	2539	16306	-	287.5	274
901894at2759	Complete	5119936	8370	12058	+	327.1	348
905026at2759	Complete	5139574	5875	9931	+	199.0	229
911863at2759	Complete	5123789	674	39242	+	194.4	204
917326at2759	Duplicated	5108218	8385	10214	-	457.0	440
917326at2759	Duplicated	5134587	1194	3014	-	454.4	439
918816at2759	Complete	5074773	4094	8312	+	148.7	197
919955at2759	Duplicated	5082652	227	3246	+	228.1	246
919955at2759	Duplicated	5113190	2152	5171	-	228.1	246
923657at2759	Complete	5129587	304	9909	-	138.0	187
924753at2759	Complete	5130441	6803	11668	+	218.0	233
931188at2759	Complete	5129476	2857	7598	-	480.1	345
937275at2759	Duplicated	5080002	177	4245	-	59.6	106
937275at2759	Duplicated	5080003	177	4251	-	59.6	106
937686at2759	Complete	5137949	222	9022	-	375.7	341
939345at2759	Complete	5123617	4486	8626	-	85.4	107
944899at2759	Complete	4995232	2822	5775	-	234.0	185
946128at2759	Complete	5128658	4067	10251	-	229.8	348
956854at2759	Complete	5139603	1368	17617	+	174.2	163
973442at2759	Complete	5132170	8330	14486	+	113.4	165
974865at2759	Fragmented	5057682	3053	4208	-	138.3	144
975158at2759	Complete	5092852	230	6562	-	216.4	277
975557at2759	Complete	5125618	3577	8345	+	406.2	423
976469at2759	Complete	5107909	25176	42922	+	212.1	233
981902at2759	Fragmented	5135100	595	7709	+	67.4	126
996662at2759	Duplicated	5126430	660	5421	+	219.8	220
996662at2759	Duplicated	5086405	59	7646	+	204.8	187
996662at2759	Duplicated	5125369	933	6673	-	197.9	222
1001705at2759	Duplicated	5067795	51	4465	+	236.8	259
1001705at2759	Duplicated	5138918	51	4465	+	236.8	259
1003258at2759	Duplicated	5037180	2236	4274	-	279.3	291
1003258at2759	Duplicated	5139408	18702	20740	+	279.3	291
1010730at2759	Fragmented	5112920	5506	6778	+	279.7	179
1014314at2759	Duplicated	5079194	5098	10143	+	241.8	215
1014314at2759	Duplicated	5079195	5502	10638	+	241.5	215
1018517at2759	Duplicated	5088091	0	2626	-	280.1	181
1018517at2759	Duplicated	5090678	3004	6817	-	270.8	198
1018517at2759	Duplicated	5090677	3004	6666	-	270.7	198
1019762at2759	Fragmented	5102248	0	3064	-	180.9	172
1025450at2759	Duplicated	5139217	4390	11432	-	260.2	271
1025450at2759	Duplicated	5138136	4390	11019	-	255.2	271
1030907at2759	Complete	5131981	178	10719	+	180.4	228
1032689at2759	Fragmented	5084922	7246	7695	+	139.4	100
1038775at2759	Complete	5091020	7475	10838	-	122.4	163
1041560at2759	Duplicated	5138085	9579	15123	+	143.7	311
1041560at2759	Duplicated	5064414	15300	20059	-	134.4	301
1049599at2759	Complete	5130076	10592	19758	+	349.5	405
1051021at2759	Complete	5133526	1033	6491	-	305.7	323
1053181at2759	Complete	5139937	16845	17819	-	51.2	154
1057950at2759	Complete	5130775	16537	20741	-	275.0	217
1065019at2759	Duplicated	5087589	5	4433	-	281.7	235
1065019at2759	Duplicated	5069097	165	4686	-	276.3	240
1065019at2759	Duplicated	5069098	165	4686	-	276.3	240
1076134at2759	Complete	5020419	4419	7473	+	191.4	154
1079130at2759	Duplicated	5083347	5366	15256	-	278.6	215
1079130at2759	Duplicated	5135306	708	5612	+	262.0	206
1079827at2759	Fragmented	5096209	3455	4868	-	298.2	153
1085752at2759	Complete	5133388	99	6576	-	206.3	263
1087488at2759	Fragmented	5023183	3698	12049	+	169.9	186
1090038at2759	Complete	5129584	1592	4138	+	106.1	130
1094121at2759	Duplicated	5129960	5025	8437	-	115.2	127
1094121at2759	Duplicated	5127978	10664	14007	-	111.9	127
1096688at2759	Complete	5116357	1166	4700	+	342.7	211
1106766at2759	Duplicated	5040288	3231	4776	+	166.2	180
1106766at2759	Duplicated	5103323	14716	16261	+	166.2	180
1107630at2759	Missing
1108845at2759	Fragmented	5135590	3583	13299	-	340.1	229
1111142at2759	Complete	5045799	3707	13469	+	227.8	296
1112002at2759	Complete	5117283	806	5019	+	368.8	325
1115196at2759	Fragmented	5072569	395	5846	-	277.2	161
1128607at2759	Fragmented	5092052	85	1471	+	178.9	87
1129824at2759	Complete	5139340	23000	31151	-	125.8	130
1138059at2759	Duplicated	5133573	283	10159	+	301.3	216
1138059at2759	Duplicated	5061529	591	6883	-	259.2	207
1157302at2759	Duplicated	5084539	203	3803	-	360.0	203
1157302at2759	Duplicated	5084540	203	3920	-	345.8	203
1161199at2759	Complete	5121035	518	4134	-	108.8	155
1173229at2759	Complete	5123526	8685	13765	-	154.1	194
1178688at2759	Complete	5123115	371	3164	+	104.3	149
1182451at2759	Duplicated	5130050	17630	22093	+	158.4	160
1182451at2759	Duplicated	5139768	15	3416	-	145.1	160
1193442at2759	Fragmented	5103542	110	3116	-	217.9	209
1194691at2759	Fragmented	5112821	11247	14034	+	203.8	184
1194797at2759	Complete	5132560	3371	10906	-	452.8	414
1197019at2759	Complete	5125078	4271	5537	-	154.1	154
1200489at2759	Fragmented	5103419	2	7981	-	45.6	77
1217666at2759	Duplicated	5071237	2162	6916	+	224.3	177
1217666at2759	Duplicated	5071238	2162	6916	+	224.3	177
1217666at2759	Duplicated	5071239	1285	6039	-	224.3	177
1217666at2759	Duplicated	5080126	13315	18069	+	224.3	177
1220881at2759	Complete	5131134	1578	10040	+	116.9	154
1222562at2759	Complete	5139453	323	17208	+	138.1	118
1223488at2759	Complete	5080890	2062	2701	-	64.6	111
1228942at2759	Complete	5107060	18557	21382	-	202.0	163
1233814at2759	Duplicated	5072472	772	2204	+	156.8	115
1233814at2759	Duplicated	5107441	8511	9943	-	156.8	115
1236198at2759	Duplicated	5050935	8197	10161	+	188.6	125
1236198at2759	Duplicated	5138145	12636	14600	+	188.6	125
1247641at2759	Duplicated	5139998	5	9119	+	140.9	207
1247641at2759	Duplicated	4627462	26	412	+	139.6	110
1248958at2759	Duplicated	5087655	144	3062	+	607.9	616
1248958at2759	Duplicated	5099550	7870	10788	-	607.9	616
1249159at2759	Duplicated	5102519	761	3431	-	109.3	153
1249159at2759	Duplicated	5083931	1933	4609	+	108.9	153
1251252at2759	Fragmented	5122305	1910	3519	-	71.8	68
1257440at2759	Duplicated	5095500	77	4154	+	166.3	128
1257440at2759	Duplicated	5095501	77	4119	+	166.3	128
1258856at2759	Fragmented	5037185	14098	19141	+	310.0	353
1259741at2759	Complete	5129913	9842	18606	+	312.1	217
1260807at2759	Complete	5137571	190	12735	-	231.3	220
1264469at2759	Duplicated	5102883	4909	8333	+	159.5	152
1264469at2759	Duplicated	5104148	2212	5636	-	159.5	152
1266231at2759	Complete	5131001	3779	6126	+	198.0	146
1269244at2759	Complete	5132983	30705	34584	-	78.5	115
1269649at2759	Duplicated	5070674	5954	6619	+	269.3	166
1269649at2759	Duplicated	5139058	5539	6204	+	269.3	166
1275837at2759	Fragmented	5091020	625	6277	-	267.0	203
1284731at2759	Complete	5135679	876	7083	+	96.3	142
1287094at2759	Complete	5139158	1295	6768	+	139.9	128
1287401at2759	Complete	5080890	3645	7548	+	251.3	163
1291729at2759	Complete	4943734	1224	5472	-	81.0	111
1304061at2759	Complete	5080130	1	5051	+	120.9	112
1309031at2759	Duplicated	5033554	3038	4828	+	282.9	366
1309031at2759	Duplicated	5056544	1936	3726	-	282.9	366
1309031at2759	Duplicated	5092896	1589	3379	+	282.9	366
1309031at2759	Duplicated	5138008	371	2161	-	282.9	366
1312453at2759	Duplicated	5038454	8614	19172	-	588.7	672
1312453at2759	Duplicated	5088470	9741	20299	+	588.7	672
1314980at2759	Complete	4964624	8	8056	-	462.4	538
1322299at2759	Duplicated	5121666	5370	10582	+	285.9	376
1322299at2759	Duplicated	5095107	1912	4217	-	253.7	306
1322299at2759	Duplicated	5095108	2352	4657	-	245.5	306
1322642at2759	Duplicated	5082960	26	9011	-	168.5	155
1322642at2759	Duplicated	5082961	41	8763	-	168.0	155
1323575at2759	Fragmented	5049330	4691	6740	+	86.0	69
1324510at2759	Complete	5128417	651	5616	-	283.3	272
1338131at2759	Fragmented	5025943	1438	2982	+	120.4	89
1339553at2759	Complete	5134178	3573	9465	+	205.5	261
1342242at2759	Complete	5130666	4228	7496	+	165.5	210
1346165at2759	Duplicated	5082414	9424	16196	-	313.3	226
1346165at2759	Duplicated	5082415	9753	16525	-	313.3	226
1346165at2759	Duplicated	5062798	1749	9134	+	306.9	244
1346165at2759	Duplicated	5089981	940	8325	-	306.9	244
1346432at2759	Fragmented	5070639	41	667	-	118.6	90
1348942at2759	Duplicated	5089686	8497	13724	-	116.3	191
1348942at2759	Duplicated	5131306	26222	31449	+	116.3	191
1348942at2759	Duplicated	5139587	47	5274	+	116.3	191
1355894at2759	Duplicated	5096206	2614	6571	-	210.5	141
1355894at2759	Duplicated	5114573	2558	6503	+	210.5	141
1358374at2759	Duplicated	5080597	1437	5233	+	264.6	203
1358374at2759	Duplicated	5119578	6094	9890	-	264.6	203
1364586at2759	Fragmented	5093049	9637	10548	+	74.0	104
1370285at2759	Complete	5136247	8728	16738	-	406.4	420
1370304at2759	Fragmented	5073427	927	5514	-	165.7	146
1377237at2759	Duplicated	5096523	1136	3473	+	146.4	138
1377237at2759	Duplicated	5096524	1136	3473	+	146.4	138
1377237at2759	Duplicated	5124130	1894	5790	+	145.6	137
1377237at2759	Duplicated	5119505	6519	10455	+	145.5	138
1379600at2759	Complete	5137889	315	23449	-	286.3	384
1380409at2759	Duplicated	5066149	1531	5974	+	169.7	131
1380409at2759	Duplicated	5118937	7841	12284	-	169.7	131
1382842at2759	Duplicated	5139031	1070	3931	+	96.4	128
1382842at2759	Duplicated	5139030	1070	4129	+	95.1	128
1395649at2759	Complete	5122851	7309	9475	+	88.2	121
1398309at2759	Complete	5136030	7866	11856	+	74.8	94
1404162at2759	Complete	5137333	6432	8828	-	189.4	189
1405073at2759	Duplicated	5056760	17617	18322	+	211.0	158
1405073at2759	Duplicated	5080473	19131	19836	+	211.0	158
1405073at2759	Duplicated	5122098	20494	21199	-	211.0	158
1405146at2759	Fragmented	5132845	708	4278	-	53.3	70
1407446at2759	Duplicated	5083319	4098	7347	+	52.2	81
1407446at2759	Duplicated	5139582	4383	7632	+	52.2	81
1421503at2759	Complete	5090146	348	3575	-	180.7	110
1423847at2759	Complete	5126825	14585	17427	-	272.1	268
1426075at2759	Duplicated	5139051	3283	6257	+	81.2	100
1426075at2759	Duplicated	5076383	6310	8161	-	72.7	84
1428265at2759	Complete	5114883	562	2719	+	133.9	188
1428854at2759	Missing
1430056at2759	Complete	5041850	732	5182	-	77.7	104
1432328at2759	Complete	5032423	1600	5951	+	195.8	147
1434266at2759	Fragmented	5133560	268	3254	+	72.7	87
1440961at2759	Complete	5131223	845	13289	+	69.4	154
1441854at2759	Complete	5133380	240	3398	-	198.9	207
1442062at2759	Duplicated	5084452	84	5184	+	135.3	189
1442062at2759	Duplicated	5084545	2650	7750	-	135.3	189
1442062at2759	Duplicated	5084451	294	5532	-	134.8	189
1445102at2759	Complete	5136752	13195	16706	+	256.9	191
1450538at2759	Complete	5139660	2604	6369	-	152.1	151
1454155at2759	Complete	5113381	5301	9036	-	84.8	107
1455730at2759	Duplicated	5034840	2633	4411	+	413.9	370
1455730at2759	Duplicated	5099181	8888	10666	+	413.9	370
1455730at2759	Duplicated	5093275	17	1825	+	413.6	370
1459797at2759	Fragmented	5062310	2711	2971	-	52.0	71
1474000at2759	Complete	5138645	3470	11811	-	86.2	138
1479417at2759	Complete	5131193	894	6104	-	204.9	171
1488235at2759	Duplicated	5099287	1833	3602	-	186.4	139
1488235at2759	Duplicated	5099288	1877	3646	-	186.4	139
1488436at2759	Duplicated	5020728	2830	4766	+	118.5	68
1488436at2759	Duplicated	5033686	2840	4776	+	118.5	68
1488436at2759	Duplicated	5096926	1777	3713	+	118.5	68
1488436at2759	Duplicated	5134614	456	3163	-	109.4	60
1490022at2759	Missing
1504863at2759	Complete	5136967	5385	7063	+	143.6	108
1513531at2759	Complete	5081086	5719	6615	+	255.1	233
1525971at2759	Duplicated	5062707	823	3580	-	108.3	78
1525971at2759	Duplicated	5084367	5166	7925	-	108.3	78
1526152at2759	Duplicated	5092332	2267	5137	+	85.6	83
1526152at2759	Duplicated	5138510	6791	9813	-	85.6	83
1530008at2759	Complete	5132504	8083	8971	-	119.2	86
1538526at2759	Complete	5132519	4496	8605	-	136.5	93
1545004at2759	Complete	4938138	126	1694	-	111.8	68
1552706at2759	Complete	5111715	3512	3901	+	78.6	70
1558822at2759	Complete	5134377	2992	5222	+	105.0	62
1563319at2759	Complete	5110927	7102	12480	+	96.9	129
1567796at2759	Complete	5125795	929	5525	+	133.4	132
1575179at2759	Complete	5124745	9753	12346	-	46.6	46
1576404at2759	Fragmented	5136192	1386	3298	+	123.1	121
1588798at2759	Duplicated	5079684	8186	13999	-	107.9	106
1588798at2759	Duplicated	5091253	3852	9665	+	107.9	106
1588798at2759	Duplicated	5120854	3292	6162	+	99.9	104
1593937at2759	Complete	5130789	16636	26709	+	61.0	101
1617752at2759	Complete	5138077	5918	11535	+	119.3	90
1620056at2759	Fragmented	5066507	6246	6422	-	36.7	50
1623701at2759	Duplicated	5100425	8783	11574	-	106.1	92
1623701at2759	Duplicated	5136627	16812	19308	-	106.1	92
1626636at2759	Duplicated	5084497	324	6592	+	139.5	126
1626636at2759	Duplicated	5099610	58	5989	-	139.0	126
1633672at2759	Fragmented	5116555	6959	10257	+	116.7	64
1645187at2759	Duplicated	5075488	7519	7855	-	47.2	40
1645187at2759	Duplicated	5075489	7502	7838	-	47.2	40
1645187at2759	Duplicated	5089357	39	3637	-	46.3	47
